2013-11-14-06	13.9951	11.0311	8.3894	10.8299	22.0377	7.9211	7.9211	10.1129
2013-11-14-12	11.5934	9.3836	7.5330	15.4575	23.3377	6.2827	6.2827	8.1392
2013-11-14-18	11.1492	9.9852	5.7377	11.2170	20.6180	5.7833	5.7833	8.5546
2013-11-15-00	12.1607	14.0623	10.5064	8.5550	18.8557	7.5816	7.5816	12.2418
2013-11-15-06	12.5918	16.3492	17.7471	9.4569	16.9885	9.3546	9.3546	14.2942
2013-11-15-12	11.9049	16.2656	13.9404	7.0995	17.8738	10.6854	10.6854	13.1003
2013-11-15-18	12.0279	14.6639	12.2643	8.8446	20.3279	8.2653	8.2653	11.6195
2013-11-16-00	14.4803	11.5410	7.7781	9.8507	22.4574	7.6112	7.6112	9.9775
2013-11-16-06	13.1131	10.3164	9.4073	9.7908	20.2066	6.4868	6.4868	9.1671
2013-11-16-12	10.0131	9.0098	6.0591	8.5609	23.4262	5.3326	5.3326	7.0227
2013-11-16-18	10.0475	8.7131	8.4314	6.4480	21.1377	5.9648	5.9648	6.9517
2013-11-17-00	9.6984	10.1607	11.9799	9.4167	23.4164	7.9628	7.9628	8.9484
2013-11-17-06	10.2016	9.7656	10.6319	10.1012	27.3098	8.7855	8.7855	7.8769
2013-11-17-12	11.8934	9.6754	15.2073	11.2012	27.1033	10.8144	10.8144	7.7664
2013-11-17-18	8.6918	8.4869	12.5007	8.5137	27.8738	6.2867	6.2867	6.5455
2013-11-18-00	6.0033	6.8525	19.6700	8.8565	31.1934	8.0195	8.0195	6.1857
2013-11-18-06	7.2049	7.1164	14.7181	9.7103	31.5197	6.4762	6.4762	5.7746
2013-11-18-12	6.8164	7.7721	10.0161	14.1361	31.7885	7.4865	7.4865	5.3884
2013-11-18-18	8.2344	10.1311	9.7241	14.0930	33.1918	7.5109	7.5109	6.8811
2013-11-19-00	8.2852	12.7705	10.0835	12.2231	38.4066	8.5028	8.5028	9.5722
2013-11-19-06	9.1738	14.2787	8.7399	5.8237	37.7148	9.0356	9.0356	10.5252
2013-11-19-12	6.2836	12.9213	9.1502	4.5084	37.0230	6.8230	6.8230	9.1317
2013-11-19-18	12.0541	13.9082	10.6238	7.9979	36.8328	10.4076	10.4076	11.2013
2013-11-20-00	11.4262	13.3984	11.6591	7.8628	36.1787	8.6019	8.6019	10.4778
2013-11-20-06	9.0967	10.8164	5.8324	13.3658	34.7115	6.1860	6.1860	7.8388
2013-11-20-12	7.1279	8.0262	7.2634	10.1700	34.0377	3.8995	3.8995	5.1356
2013-11-20-18	7.4984	9.1475	7.2490	6.7475	35.4295	4.5536	4.5536	6.6084
2013-11-21-00	6.6016	9.7590	8.3987	4.2945	37.7197	6.0447	6.0447	8.1554
2013-11-21-06	6.0869	8.6787	5.3275	4.4496	37.8705	5.0836	5.0836	7.3201
2013-11-21-12	5.8738	7.5836	5.6484	4.0220	37.8820	5.3393	5.3393	6.8565
2013-11-21-18	6.4393	6.8311	6.6741	4.3370	36.8787	5.9573	5.9573	6.3119
2013-11-22-00	6.0623	7.1967	7.8758	4.5204	37.6230	6.0761	6.0761	6.5906
2013-11-22-06	4.8492	6.9557	6.9116	4.4282	38.8525	4.9556	4.9556	6.6866
2013-11-22-12	7.5574	6.8721	5.1201	4.6728	37.4525	5.8733	5.8733	6.4722
2013-11-22-18	4.8049	6.4066	4.9204	5.7290	35.2426	5.5432	5.5432	5.6097
2013-11-23-00	4.2885	6.3131	7.0066	8.8249	36.7557	4.6329	4.6329	6.0251
2013-11-23-06	4.4738	6.4098	6.4964	10.2514	38.6459	6.4615	6.4615	6.6248
2013-11-23-12	5.1525	6.9246	6.8682	9.4768	44.5607	5.8971	5.8971	7.5608
2013-11-23-18	5.0262	6.3885	7.0056	10.7149	42.9066	5.4559	5.4559	7.4161
2013-11-24-00	4.6967	6.5311	10.5915	9.9036	42.0279	6.5510	6.5510	7.5803
2013-11-24-06	3.6639	6.0361	10.7097	10.8644	40.9656	5.8644	5.8644	7.1350
2013-11-24-12	6.9705	7.2279	6.2230	10.6294	38.0508	4.5077	4.5077	6.2807
2013-11-24-18	7.5328	10.1738	7.5256	11.3546	36.0016	5.9357	5.9357	8.8795
2013-11-25-00	8.7164	7.8295	7.2014	13.0900	38.5066	6.2511	6.2511	8.0345
2013-11-25-06	9.4410	6.2049	11.9579	10.0559	43.5787	6.4053	6.4053	8.4958
2013-11-25-12	8.0066	5.2672	7.3032	8.8931	44.7738	4.6934	4.6934	7.2066
2013-11-25-18	9.5410	10.2344	6.8886	10.3201	45.2787	6.1646	6.1646	7.9704
2013-11-26-00	11.6984	9.8770	6.0066	17.6099	44.4984	6.9892	6.9892	8.3388
2013-11-26-06	8.9689	9.2672	8.8097	20.0045	44.1967	6.4354	6.4354	7.2493
2013-11-26-12	9.7197	7.9115	12.5991	18.0525	46.7426	4.4571	4.4571	6.4465
2013-11-26-18	10.6525	11.1148	12.9990	18.8688	44.4557	6.6412	6.6412	7.5436
2013-11-27-00	8.1197	9.1885	10.3318	22.9915	45.9557	5.8679	5.8679	6.9696
2013-11-27-06	8.8115	8.7115	8.5739	29.1567	45.9098	6.4446	6.4446	8.0346
2013-11-27-12	8.0852	7.8689	9.0687	16.6136	43.7344	6.7256	6.7256	7.3104
2013-11-27-18	10.4246	8.4984	6.7396	10.8282	44.8639	8.1211	8.1211	8.0991
2013-11-28-00	10.1607	7.7902	6.7733	8.3707	43.6377	6.5973	6.5973	7.4279
2013-11-28-06	7.0656	7.1967	9.0564	8.2705	44.5148	5.5922	5.5922	6.1572
2013-11-28-12	8.4803	9.5344	11.7606	14.5656	41.4344	7.9328	7.9328	8.1928
2013-11-28-18	9.7770	8.4951	15.9633	11.5265	41.7770	7.5061	7.5061	8.5112
2013-11-29-00	8.8049	8.4311	11.5681	12.7263	44.3197	7.1705	7.1705	8.1435
2013-11-29-06	9.1443	7.3721	7.0523	15.1882	44.0410	3.7943	3.7943	6.8533
2013-11-29-12	7.0721	6.9721	7.1450	13.8898	43.0098	3.4141	3.4141	5.1326
2013-11-29-18	7.4639	9.5098	10.0551	17.6837	46.5377	5.6640	5.6640	7.0507
2013-11-30-00	6.9082	8.8639	9.2602	20.9954	44.8836	6.2533	6.2533	7.4528
2013-11-30-06	6.5344	9.7803	11.7413	14.3505	41.6689	7.2034	7.2034	7.1931
2013-11-30-12	9.7885	13.2787	13.7161	18.3917	39.7967	9.2675	9.2675	10.6962
2013-11-30-18	13.4361	17.2148	14.9476	19.2227	39.7197	12.0979	12.0979	13.8009
2013-12-01-00	11.7721	13.7557	12.7529	18.8583	42.3967	10.4428	10.4428	11.9768
2013-12-01-06	12.5443	13.7148	15.5608	20.5165	43.7656	10.6090	10.6090	12.2542
2013-12-01-12	12.8475	15.3590	13.8887	22.9684	44.5590	13.8357	13.8357	12.3999
2013-12-01-18	12.6557	12.8098	11.4872	25.6855	43.0393	11.6810	11.6810	11.8051
2013-12-02-00	7.9295	10.4656	11.5547	22.9150	45.2508	9.0488	9.0488	9.5408
2013-12-02-06	6.2902	7.9246	9.2809	23.9076	45.2361	7.8407	7.8407	7.0680
2013-12-02-12	7.7820	7.8213	9.8533	20.2898	43.6426	7.8377	7.8377	7.0287
2013-12-02-18	6.8426	5.8705	11.7905	24.9764	45.5541	6.3775	6.3775	5.7006
2013-12-03-00	8.2475	5.7311	13.1661	33.9785	47.0213	6.4222	6.4222	5.1274
2013-12-03-06	8.8984	7.0803	9.2268	22.6569	46.8590	6.1356	6.1356	6.3887
